2439.7,-100,0,330,Planet
6051.8,15,2,4868,Planet
6371,15,1,5973.6,Planet
3389.5,-63,2,641.71,Planet
69911,-145,82,1898.19,Planet
579.6,462,0,0.073,Planet
71492,-145,79,568.34,Planet
60268,-218,62,86.813,Planet
25559,52,27,102.413,Planet
54364,-214,14,568.34,Planet
2370,-53,0,0.33,Planet
4861.4,167,0,0.642,Planet
25,100,0,0.000002,Planet
12756,15,1,5.972e+24,Planet
49528,-224,27,4.867e+24,Planet
142984,-234,79,5.972e+24,Planet
120536,-245,62,5.972e+24,Planet
51118,-211,27,5.972e+24,Planet
49528,-213,14,5.972e+24,Planet
49244,-234,62,5.972e+24,Planet
52414,-221,27,5.972e+24,Planet
60268,-245,27,5.972e+24,Planet
696340,-243,82,5.972e+24,Planet
714920,-230,79,5.972e+24,Planet
495280,-215,62,5.972e+24,Planet
54108,-215,27,5.972e+24,Planet
60268,-236,14,5.972e+24,Planet
495280,-222,82,5.972e+24,Planet
714920,-230,79,5.972e+24,Planet
54108,-215,62,5.972e+24,Planet
60432,-215,27,5.972e+24,Planet
60268,-236,14,5.972e+24,Planet
25482,-256,27,5.972e+24,Planet
659232,-278,82,5.972e+24,Planet
714920,-281,79,5.972e+24,Planet
58952,-292,62,5.972e+24,Planet
495280,-276,27,5.972e+24,Planet
60268,-298,14,5.972e+24,Planet
6941,-220,0,0.107,Planet
10200,-201,0,0.815,Planet
695700,5778,8,1.989e+30,Star
696340,5505,9,1.989e+30,Star
714920,5778,7,1.989e+30,Star
6941,5778,0,2.0e+30,Star
10200,5778,0,2.0e+30,Star
12756,5778,0,2.0e+30,Star
49528,5778,7,1.989e+30,Star
54108,5778,8,1.989e+30,Star
60268,5778,9,1.989e+30,Star
696340,5778,7,1.989e+30,Star
714920,5778,8,1.989e+30,Star
6941,5778,0,1.989e+30,Star
10200,5778,0,1.989e+30,Star
12756,5778,0,1.989e+30,Star
49528,5778,7,1.989e+30,Star
54108,5778,8,1.989e+30,Star
60268,5778,9,1.989e+30,Star
696340,5778,7,1.989e+30,Star
714920,5778,8,1.989e+30,Star
6941,5778,0,1.989e+30,Star
10200,5778,0,1.989e+30,Star
12756,5778,0,1.989e+30,Star
49528,5778,7,1.989e+30,Star
54108,5778,8,1.989e+30,Star
60268,5778,9,1.989e+30,Star
696340,5778,7,1.989e+30,Star
714920,5778,8,1.989e+30,Star
6941,5778,0,1.989e+30,Star
10200,5778,0,1.989e+30,Star
12756,5778,0,1.989e+30,Star
49528,5778,7,1.989e+30,Star
54108,5778,8,1.989e+30,Star
60268,5778,9,1.989e+30,Star
696340,5778,7,1.989e+30,Star
714920,5778,8,1.989e+30,Star
6941,5778,0,1.989e+30,Star
10200,5778,0,1.989e+30,Star
12756,5778,0,1.989e+30,Star
49528,5778,7,1.989e+30,Star
54108,5778,8,1.989e+30,Star
5.0,500,0,1000000000,Meteor
4.5,600,0,500000000,Meteor
3.0,700,0,300000000,Meteor
2.2,800,0,200000000,Meteor
6.7,400,0,1500000000,Meteor
4.0,550,0,400000000,Meteor
3.5,650,0,250000000,Meteor
2.8,750,0,220000000,Meteor
6.5,420,0,1700000000,Meteor
5.2,480,0,600000000,Meteor
4.8,580,0,450000000,Meteor
3.9,680,0,350000000,Meteor
2.9,780,0,230000000,Meteor
7.2,430,0,1800000000,Meteor
6.0,520,0,700000000,Meteor
5.5,600,0,550000000,Meteor
4.6,670,0,360000000,Meteor
3.8,720,0,280000000,Meteor
2.5,790,0,250000000,Meteor
7.8,440,0,1900000000,Meteor
6.3,510,0,800000000,Meteor
5.8,590,0,570000000,Meteor
4.9,660,0,470000000,Meteor
4.2,730,0,320000000,Meteor
3.3,770,0,240000000,Meteor
8.5,450,0,2000000000,Meteor
7.0,540,0,850000000,Meteor
6.4,610,0,600000000,Meteor
5.6,680,0,580000000,Meteor
4.7,740,0,380000000,Meteor
3.7,780,0,290000000,Meteor
8.9,460,0,2100000000,Meteor
7.4,530,0,870000000,Meteor
6.6,620,0,620000000,Meteor
5.9,690,0,590000000,Meteor
4.5,750,0,390000000,Meteor
3.6,790,0,300000000,Meteor
9.5,470,0,2200000000,Meteor
7.8,540,0,880000000,Meteor
6.8,630,0,630000000,Meteor
